Gene,logFC,t_stat,p_value,q_value
1552889_a_at,,0.0,1.0,1.0
1552899_at,,0.0,1.0,1.0
1552914_a_at,,0.0,1.0,1.0
1552921_a_at,,0.0,1.0,1.0
1552930_at,,0.0,1.0,1.0
1552931_a_at,,0.0,1.0,1.0
1552937_s_at,,0.0,1.0,1.0
1552961_at,,0.0,1.0,1.0
1552974_at,,0.0,1.0,1.0
1552975_x_at,,0.0,1.0,1.0
1552977_a_at,,0.0,1.0,1.0
1552978_a_at,,0.0,1.0,1.0
1552980_at,,0.0,1.0,1.0
1553011_at,,0.0,1.0,1.0
1553015_a_at,,0.0,1.0,1.0
1553030_a_at,,0.0,1.0,1.0
1553034_at,,0.0,1.0,1.0
1553043_a_at,,0.0,1.0,1.0
1553047_at,,0.0,1.0,1.0
1553048_a_at,,0.0,1.0,1.0
1553055_a_at,,0.0,1.0,1.0
1553072_at,,0.0,1.0,1.0
1553096_s_at,,0.0,1.0,1.0
1553099_at,,0.0,1.0,1.0
1553101_a_at,,0.0,1.0,1.0
1553102_a_at,,0.0,1.0,1.0
1553103_at,,0.0,1.0,1.0
1553105_s_at,,0.0,1.0,1.0
1553106_at,,0.0,1.0,1.0
1553108_at,,0.0,1.0,1.0
1553111_a_at,,0.0,1.0,1.0
1553112_s_at,,0.0,1.0,1.0
1553113_s_at,,0.0,1.0,1.0
1553114_a_at,,0.0,1.0,1.0
1553117_a_at,,0.0,1.0,1.0
1553118_at,,0.0,1.0,1.0
1553122_s_at,,0.0,1.0,1.0
1553130_at,,0.0,1.0,1.0
1553132_a_at,,0.0,1.0,1.0
1553139_s_at,,0.0,1.0,1.0
1553142_at,,0.0,1.0,1.0
1553145_at,,0.0,1.0,1.0
1553148_a_at,,0.0,1.0,1.0
1553150_at,,0.0,1.0,1.0
1553165_at,,0.0,1.0,1.0
1553172_at,,0.0,1.0,1.0
1553185_at,,0.0,1.0,1.0
1553186_x_at,,0.0,1.0,1.0
1553193_at,,0.0,1.0,1.0
1553199_at,,0.0,1.0,1.0
1553202_at,,0.0,1.0,1.0
1553214_a_at,,0.0,1.0,1.0
1553216_at,,0.0,1.0,1.0
1553218_a_at,,0.0,1.0,1.0
1553225_s_at,,0.0,1.0,1.0
1553227_s_at,,0.0,1.0,1.0
1553229_at,,0.0,1.0,1.0
1553243_at,,0.0,1.0,1.0
1553248_at,,0.0,1.0,1.0
1553252_a_at,,0.0,1.0,1.0
1553255_at,,0.0,1.0,1.0
1553261_x_at,,0.0,1.0,1.0
1553269_at,,0.0,1.0,1.0
1553271_at,,0.0,1.0,1.0
1553274_a_at,,0.0,1.0,1.0
1553275_s_at,,0.0,1.0,1.0
1553280_at,,0.0,1.0,1.0
1553286_at,,0.0,1.0,1.0
1553292_s_at,,0.0,1.0,1.0
1553297_a_at,,0.0,1.0,1.0
1553338_at,,0.0,1.0,1.0
1553348_a_at,,0.0,1.0,1.0
1553349_at,,0.0,1.0,1.0
1553359_at,,0.0,1.0,1.0
1553361_x_at,,0.0,1.0,1.0
1553394_a_at,,0.0,1.0,1.0
1553396_a_at,,0.0,1.0,1.0
1553400_a_at,,0.0,1.0,1.0
1553402_a_at,,0.0,1.0,1.0
1553407_at,,0.0,1.0,1.0
1553410_a_at,,0.0,1.0,1.0
1553413_at,,0.0,1.0,1.0
1553423_a_at,,0.0,1.0,1.0
1553430_a_at,,0.0,1.0,1.0
1553434_at,,0.0,1.0,1.0
1553436_at,,0.0,1.0,1.0
1553438_at,,0.0,1.0,1.0
1553462_at,,0.0,1.0,1.0
1553474_at,,0.0,1.0,1.0
1553493_a_at,,0.0,1.0,1.0
1553510_s_at,,0.0,1.0,1.0
1553528_a_at,,0.0,1.0,1.0
1553530_a_at,,0.0,1.0,1.0
1553535_a_at,,0.0,1.0,1.0
1553538_s_at,,0.0,1.0,1.0
1553542_at,,0.0,1.0,1.0
1553551_s_at,,0.0,1.0,1.0
1553567_s_at,,0.0,1.0,1.0
1553569_at,,0.0,1.0,1.0
1553570_x_at,,0.0,1.0,1.0
1553575_at,,0.0,1.0,1.0
1553581_s_at,,0.0,1.0,1.0
1553583_a_at,,0.0,1.0,1.0
1553587_a_at,,0.0,1.0,1.0
1553588_at,,0.0,1.0,1.0
1553589_a_at,,0.0,1.0,1.0
1553602_at,,0.0,1.0,1.0
1553603_s_at,,0.0,1.0,1.0
1553611_s_at,,0.0,1.0,1.0
1553612_at,,0.0,1.0,1.0
1553613_s_at,,0.0,1.0,1.0
1553614_a_at,,0.0,1.0,1.0
1553622_a_at,,0.0,1.0,1.0
1553663_a_at,,0.0,1.0,1.0
1553668_at,,0.0,1.0,1.0
1553672_at,,0.0,1.0,1.0
1553677_a_at,,0.0,1.0,1.0
1553678_a_at,,0.0,1.0,1.0
1553679_s_at,,0.0,1.0,1.0
1553681_a_at,,0.0,1.0,1.0
1553685_s_at,,0.0,1.0,1.0
1553689_s_at,,0.0,1.0,1.0
1553691_at,,0.0,1.0,1.0
1553693_s_at,,0.0,1.0,1.0
1553694_a_at,,0.0,1.0,1.0
1553696_s_at,,0.0,1.0,1.0
1553698_a_at,,0.0,1.0,1.0
1553703_at,,0.0,1.0,1.0
1553704_x_at,,0.0,1.0,1.0
1553705_a_at,,0.0,1.0,1.0
1553706_at,,0.0,1.0,1.0
1553709_a_at,,0.0,1.0,1.0
1553713_a_at,,0.0,1.0,1.0
1553715_s_at,,0.0,1.0,1.0
1553718_at,,0.0,1.0,1.0
1553719_s_at,,0.0,1.0,1.0
1553720_a_at,,0.0,1.0,1.0
1553725_s_at,,0.0,1.0,1.0
1553726_s_at,,0.0,1.0,1.0
1553728_at,,0.0,1.0,1.0
1553732_s_at,,0.0,1.0,1.0
1553743_at,,0.0,1.0,1.0
1553749_at,,0.0,1.0,1.0
1553750_a_at,,0.0,1.0,1.0
1553759_at,,0.0,1.0,1.0
1553764_a_at,,0.0,1.0,1.0
1553768_a_at,,0.0,1.0,1.0
1553780_at,,0.0,1.0,1.0
1553797_a_at,,0.0,1.0,1.0
1553798_a_at,,0.0,1.0,1.0
1553801_a_at,,0.0,1.0,1.0
1553803_at,,0.0,1.0,1.0
1553830_s_at,,0.0,1.0,1.0
1553856_s_at,,0.0,1.0,1.0
1553857_at,,0.0,1.0,1.0
1553858_at,,0.0,1.0,1.0
1553868_a_at,,0.0,1.0,1.0
1553882_at,,0.0,1.0,1.0
1553901_x_at,,0.0,1.0,1.0
1553906_s_at,,0.0,1.0,1.0
1553909_x_at,,0.0,1.0,1.0
1553910_at,,0.0,1.0,1.0
1553928_at,,0.0,1.0,1.0
1553940_a_at,,0.0,1.0,1.0
1553946_at,,0.0,1.0,1.0
1553947_at,,0.0,1.0,1.0
1553954_at,,0.0,1.0,1.0
1553955_at,,0.0,1.0,1.0
1553956_at,,0.0,1.0,1.0
1553957_at,,0.0,1.0,1.0
1553959_a_at,,0.0,1.0,1.0
1553960_at,,0.0,1.0,1.0
1553961_s_at,,0.0,1.0,1.0
1553962_s_at,,0.0,1.0,1.0
1553968_a_at,,0.0,1.0,1.0
1553970_s_at,,0.0,1.0,1.0
1553971_a_at,,0.0,1.0,1.0
1553972_a_at,,0.0,1.0,1.0
1553974_at,,0.0,1.0,1.0
1553976_a_at,,0.0,1.0,1.0
1553977_a_at,,0.0,1.0,1.0
1553978_at,,0.0,1.0,1.0
1553979_at,,0.0,1.0,1.0
1553982_a_at,,0.0,1.0,1.0
1553984_s_at,,0.0,1.0,1.0
1553986_at,,0.0,1.0,1.0
1553987_at,,0.0,1.0,1.0
1553989_a_at,,0.0,1.0,1.0
1553992_s_at,,0.0,1.0,1.0
1553993_s_at,,0.0,1.0,1.0
1553994_at,,0.0,1.0,1.0
1554001_at,,0.0,1.0,1.0
1554003_at,,0.0,1.0,1.0
1554004_a_at,,0.0,1.0,1.0
1554006_a_at,,0.0,1.0,1.0
1554007_at,,0.0,1.0,1.0
1554008_at,,0.0,1.0,1.0
1554014_at,,0.0,1.0,1.0
1554015_a_at,,0.0,1.0,1.0
1554016_a_at,,0.0,1.0,1.0
1554018_at,,0.0,1.0,1.0
1554019_s_at,,0.0,1.0,1.0
1554020_at,,0.0,1.0,1.0
1554021_a_at,,0.0,1.0,1.0
1554026_a_at,,0.0,1.0,1.0
1554029_a_at,,0.0,1.0,1.0
1554036_at,,0.0,1.0,1.0
1554037_a_at,,0.0,1.0,1.0
1554039_at,,0.0,1.0,1.0
1554045_at,,0.0,1.0,1.0
1554047_at,,0.0,1.0,1.0
1554052_at,,0.0,1.0,1.0
1554053_at,,0.0,1.0,1.0
1554057_at,,0.0,1.0,1.0
1554060_s_at,,0.0,1.0,1.0
1554062_at,,0.0,1.0,1.0
1554063_at,,0.0,1.0,1.0
1554067_at,,0.0,1.0,1.0
1554068_s_at,,0.0,1.0,1.0
1554078_s_at,,0.0,1.0,1.0
1554079_at,,0.0,1.0,1.0
1554080_at,,0.0,1.0,1.0
1554082_a_at,,0.0,1.0,1.0
1554084_a_at,,0.0,1.0,1.0
1554085_at,,0.0,1.0,1.0
1554089_s_at,,0.0,1.0,1.0
1554093_a_at,,0.0,1.0,1.0
1554095_at,,0.0,1.0,1.0
1554096_a_at,,0.0,1.0,1.0
1554099_a_at,,0.0,1.0,1.0
1554101_a_at,,0.0,1.0,1.0
1554102_a_at,,0.0,1.0,1.0
1554105_at,,0.0,1.0,1.0
1554106_at,,0.0,1.0,1.0
1554112_a_at,,0.0,1.0,1.0
1554116_s_at,,0.0,1.0,1.0
1554126_at,,0.0,1.0,1.0
1554127_s_at,,0.0,1.0,1.0
1554131_at,,0.0,1.0,1.0
1554132_a_at,,0.0,1.0,1.0
1554133_at,,0.0,1.0,1.0
1554142_at,,0.0,1.0,1.0
1554145_a_at,,0.0,1.0,1.0
1554148_a_at,,0.0,1.0,1.0
1554149_at,,0.0,1.0,1.0
1554152_a_at,,0.0,1.0,1.0
1554153_a_at,,0.0,1.0,1.0
1554154_at,,0.0,1.0,1.0
1554155_at,,0.0,1.0,1.0
1554158_at,,0.0,1.0,1.0
1554159_a_at,,0.0,1.0,1.0
1554160_a_at,,0.0,1.0,1.0
1554161_at,,0.0,1.0,1.0
1554167_a_at,,0.0,1.0,1.0
1554168_a_at,,0.0,1.0,1.0
1554170_a_at,,0.0,1.0,1.0
1554171_at,,0.0,1.0,1.0
1554177_a_at,,0.0,1.0,1.0
1554178_a_at,,0.0,1.0,1.0
1554179_s_at,,0.0,1.0,1.0
1554190_s_at,,0.0,1.0,1.0
1554195_a_at,,0.0,1.0,1.0
1554201_at,,0.0,1.0,1.0
